region,valid,gate,logvar,uncertainty,vote_x_m,vote_y_m,vote_z_m,vote_norm_m
0,1,0.99999726,0.51106435,1.6670645,0.0009773591300472617,0.002789184218272567,0.015626035630702972,0.015903074
1,1,0.99999917,2.6489859,14.139692,-0.00019061715283896774,-0.003057091264054179,0.020756717771291733,0.020981504
2,1,0.99999976,2.3385675,10.366376,-0.0004904631059616804,-0.0028043086640536785,0.016797218471765518,0.017036762
3,1,0.9999957,-0.5595367,0.5714738,-0.0029819824267178774,0.001806057756766677,0.0215916745364666,0.021871315
4,1,0.9999999,1.920753,6.8260965,-0.00039080489659681916,-0.002001306274905801,0.00782758928835392,0.008088826
5,1,0.9999999,2.9546924,19.195816,-0.0009783911518752575,-0.0015188396209850907,0.009413407184183598,0.009585216
6,1,0.99999905,0.7532998,2.1239972,-0.001706930110231042,1.5837373211979866e-05,0.01316814124584198,0.01327832
7,1,0.99999976,0.05204789,1.0534263,-0.002409782027825713,-0.001994119491428137,0.019306009635329247,0.01955775
8,1,0.9999999,3.9322155,51.019882,-0.0010557565838098526,0.0018064167816191912,0.013032818213105202,0.013199702
9,1,0.99999976,1.6517544,5.2161226,-0.0006685981643386185,0.0011693785199895501,0.013208005577325821,0.013276516
10,1,0.99999356,-0.623801,0.5359036,-5.0496597395977005e-05,-5.147251067683101e-05,0.02855665050446987,0.028556742
11,1,0.9999989,0.7424961,2.1011739,-0.0014059169916436076,0.0002546370087657124,0.01870853081345558,0.01876301
12,1,0.9999956,0.30863884,1.3615705,-0.0016849444946274161,0.001587057369761169,0.012696348130702972,0.01290562
13,1,0.99999976,0.05360497,1.0550678,-0.0014729705872014165,0.001148655777797103,0.017333246767520905,0.017433602
14,1,0.99999857,-1.7575219,0.17247175,-0.0021791206672787666,0.0011005414417013526,0.027148082852363586,0.027257627
15,1,0.9999987,1.0702564,2.916127,-0.0009847793262451887,0.000821849680505693,0.019521823152899742,0.019563917
16,1,0.9999995,-0.60843295,0.54420304,-0.0019500048365443945,-0.0013975040055811405,0.019171450287103653,0.019320974
17,1,0.9999995,1.1149731,3.0494862,-0.005853750742971897,-0.007375295739620924,0.015104933641850948,0.01779945
18,1,0.99999774,1.7721859,5.8837004,0.0007546241395175457,0.00021732202731072903,0.010910817421972752,0.010939041
19,1,0.9999999,2.7752266,16.042261,-0.0007571307942271233,0.004403493367135525,0.01152489148080349,0.01236071
20,1,0.9999831,-1.5384678,0.21470985,0.0022571615409106016,-0.00408713286742568,0.026282045990228653,0.026693545
21,1,1.0,1.5751302,4.831371,-0.0007085512625053525,0.004712545312941074,0.01874220371246338,0.01933857
22,1,0.9999989,-0.39415714,0.6742481,-0.001974408980458975,-0.0008898532250896096,0.018178753554821014,0.018307298
23,1,0.999998,-1.5802357,0.20592655,-0.003570564789697528,0.002590545918792486,0.01875344291329384,0.019265292
24,1,0.9999969,-1.0574863,0.3473278,0.0002556444378569722,0.002528941025957465,0.015133971348404884,0.015345943
25,1,0.99999976,0.80276823,2.2317102,-0.005143432877957821,-0.0023055998608469963,0.02504623681306839,0.025672644
26,1,0.9999994,2.71459,15.098419,-0.0021868012845516205,0.0031424560584127903,0.013601114973425865,0.014129666
27,1,0.9999993,0.75474435,2.1270676,0.00011299458856228739,0.003506600623950362,0.019556459039449692,0.019868672
28,1,0.99999654,-1.8882543,0.15133578,-0.0017437186324968934,0.0037054866552352905,0.021271074190735817,0.021661712
