label,person_query,gt_index,point_index,depth_name,x_img,y_img,x_depth,y_depth,point_z,sampled_depth,sample_minus_z,valid
gt_joints_datasetK_gtDepth,1,1,0,gt,146.6033935546875,318.233154296875,146.6033935546875,318.233154296875,5.6346659660339355,5.467065334320068,-0.1676006317138672,True
gt_joints_datasetK_gtDepth,1,1,1,gt,154.6744842529297,330.6515197753906,154.6744842529297,330.6515197753906,5.619199275970459,5.504724979400635,-0.11447429656982422,True
gt_joints_datasetK_gtDepth,1,1,2,gt,136.8215789794922,329.30609130859375,136.8215789794922,329.30609130859375,5.634812831878662,5.535263538360596,-0.0995492935180664,True
gt_joints_datasetK_gtDepth,1,1,3,gt,149.26658630371094,303.572265625,149.26658630371094,303.572265625,5.6798014640808105,5.472642421722412,-0.20715904235839844,True
gt_joints_datasetK_gtDepth,1,1,4,gt,158.40736389160156,374.6494140625,158.40736389160156,374.6494140625,5.605557441711426,5.563789367675781,-0.04176807403564453,True
gt_joints_datasetK_gtDepth,1,1,5,gt,127.95536804199219,374.33221435546875,127.95536804199219,374.33221435546875,5.605781555175781,5.561146259307861,-0.04463529586791992,True
gt_joints_datasetK_gtDepth,1,1,6,gt,151.55096435546875,287.3159484863281,151.55096435546875,287.3159484863281,5.68326997756958,5.490752220153809,-0.19251775741577148,True
gt_joints_datasetK_gtDepth,1,1,7,gt,160.0315399169922,421.1597900390625,160.0315399169922,421.1597900390625,5.633106231689453,0.0,-5.633106231689453,False
gt_joints_datasetK_gtDepth,1,1,8,gt,128.6930389404297,420.207275390625,128.6930389404297,420.207275390625,5.649755477905273,0.0,-5.649755477905273,False
gt_joints_datasetK_gtDepth,1,1,9,gt,149.56741333007812,281.9939270019531,149.56741333007812,281.9939270019531,5.644245147705078,5.478917121887207,-0.1653280258178711,True
gt_joints_datasetK_gtDepth,1,1,10,gt,158.0225830078125,430.89208984375,158.0225830078125,430.89208984375,5.506428241729736,0.0,-5.506428241729736,False
gt_joints_datasetK_gtDepth,1,1,11,gt,115.43984985351562,427.98468017578125,115.43984985351562,427.98468017578125,5.538467884063721,0.0,-5.538467884063721,False
gt_joints_datasetK_gtDepth,1,1,12,gt,151.86463928222656,253.752685546875,151.86463928222656,253.752685546875,5.68744421005249,5.545528888702393,-0.14191532135009766,True
gt_joints_datasetK_gtDepth,1,1,13,gt,161.65638732910156,265.6961364746094,161.65638732910156,265.6961364746094,5.662451267242432,5.558455944061279,-0.10399532318115234,True
gt_joints_datasetK_gtDepth,1,1,14,gt,141.1049346923828,265.400146484375,141.1049346923828,265.400146484375,5.694192886352539,5.510568618774414,-0.183624267578125,True
gt_joints_datasetK_gtDepth,1,1,15,gt,150.0501708984375,246.2928466796875,150.0501708984375,246.2928466796875,5.643481254577637,5.579039573669434,-0.06444168090820312,True
gt_joints_datasetK_gtDepth,1,1,16,gt,173.76756286621094,269.1361999511719,173.76756286621094,269.1361999511719,5.652344226837158,21.99467658996582,16.34233283996582,True
gt_joints_datasetK_gtDepth,1,1,17,gt,128.0137176513672,265.7541809082031,128.0137176513672,265.7541809082031,5.703330039978027,5.542845249176025,-0.16048479080200195,True
gt_joints_datasetK_gtDepth,1,1,18,gt,178.60366821289062,300.32720947265625,178.60366821289062,300.32720947265625,5.626075267791748,14.34139347076416,8.71531867980957,True
gt_joints_datasetK_gtDepth,1,1,19,gt,112.22653198242188,290.5295104980469,112.22653198242188,290.5295104980469,5.55109977722168,15.485312461853027,9.934212684631348,True
gt_joints_datasetK_gtDepth,1,1,20,gt,161.03794860839844,316.6006164550781,161.03794860839844,316.6006164550781,5.419862270355225,5.529537200927734,0.10967493057250977,True
gt_joints_datasetK_gtDepth,1,1,21,gt,116.74894714355469,269.06048583984375,116.74894714355469,269.06048583984375,5.410274505615234,6.381221294403076,0.9709467887878418,True
gt_joints_datasetK_gtDepth,1,1,22,gt,153.9435577392578,322.260986328125,153.9435577392578,322.260986328125,5.345946311950684,5.5099711418151855,0.16402482986450195,True
gt_joints_datasetK_gtDepth,1,1,23,gt,119.89886474609375,259.90643310546875,119.89886474609375,259.90643310546875,5.379297256469727,10.077788352966309,4.698491096496582,True
gt_joints_vggtK_gtDepth,1,1,0,gt,138.16561889648438,327.5362548828125,138.16561889648438,327.5362548828125,5.6346659660339355,5.529603958129883,-0.10506200790405273,True
gt_joints_vggtK_gtDepth,1,1,1,gt,146.58169555664062,340.86981201171875,146.58169555664062,340.86981201171875,5.619199275970459,5.5447306632995605,-0.07446861267089844,True
gt_joints_vggtK_gtDepth,1,1,2,gt,127.96566772460938,339.42523193359375,127.96566772460938,339.42523193359375,5.634812831878662,5.518741607666016,-0.11607122421264648,True
gt_joints_vggtK_gtDepth,1,1,3,gt,140.94264221191406,311.79486083984375,140.94264221191406,311.79486083984375,5.6798014640808105,5.2675275802612305,-0.4122738838195801,True
gt_joints_vggtK_gtDepth,1,1,4,gt,150.47413635253906,388.1102294921875,150.47413635253906,388.1102294921875,5.605557441711426,0.0,-5.605557441711426,False
gt_joints_vggtK_gtDepth,1,1,5,gt,118.720458984375,387.7696533203125,118.720458984375,387.7696533203125,5.605781555175781,0.0,-5.605781555175781,False
gt_joints_vggtK_gtDepth,1,1,6,gt,143.32464599609375,294.34051513671875,143.32464599609375,294.34051513671875,5.68326997756958,5.486666679382324,-0.19660329818725586,True
gt_joints_vggtK_gtDepth,1,1,7,gt,152.167724609375,438.0483703613281,152.167724609375,438.0483703613281,5.633106231689453,0.0,-5.633106231689453,False
gt_joints_vggtK_gtDepth,1,1,8,gt,119.48966979980469,437.025634765625,119.48966979980469,437.025634765625,5.649755477905273,0.0,-5.649755477905273,False
gt_joints_vggtK_gtDepth,1,1,9,gt,141.25631713867188,288.62628173828125,141.25631713867188,288.62628173828125,5.644245147705078,5.496760368347168,-0.14748477935791016,True
gt_joints_vggtK_gtDepth,1,1,10,gt,150.0729217529297,448.4978942871094,150.0729217529297,448.4978942871094,5.506428241729736,0.0,-5.506428241729736,False
gt_joints_vggtK_gtDepth,1,1,11,gt,105.66995239257812,445.376220703125,105.66995239257812,445.376220703125,5.538467884063721,0.0,-5.538467884063721,False
gt_joints_vggtK_gtDepth,1,1,12,gt,143.6517333984375,258.3037109375,143.6517333984375,258.3037109375,5.68744421005249,5.546590328216553,-0.1408538818359375,True
gt_joints_vggtK_gtDepth,1,1,13,gt,153.86203002929688,271.12738037109375,153.86203002929688,271.12738037109375,5.662451267242432,5.488755226135254,-0.17369604110717773,True
gt_joints_vggtK_gtDepth,1,1,14,gt,132.43211364746094,270.8095397949219,132.43211364746094,270.8095397949219,5.694192886352539,5.509135723114014,-0.1850571632385254,True
gt_joints_vggtK_gtDepth,1,1,15,gt,141.75970458984375,250.29409790039062,141.75970458984375,250.29409790039062,5.643481254577637,5.571655750274658,-0.07182550430297852,True
gt_joints_vggtK_gtDepth,1,1,16,gt,166.49090576171875,274.8209533691406,166.49090576171875,274.8209533691406,5.652344226837158,5.55220890045166,-0.10013532638549805,True
